FileName	Sample
240826Chi_D24-13557	MED4-MIT1002 NPC A
240826Chi_D24-13558	MED4-MIT1002 NPC B
240826Chi_D24-13559	MED4-MIT1002 NPC C
240826Chi_D24-13560	MED4-MIT1002 PSSP7-1 A
240826Chi_D24-13561	MED4-MIT1002 PSSP7-1 B
240826Chi_D24-13562	MED4-MIT1002 PSSP7-1 C
240826Chi_D24-13569	MED4-MIT1002 PSSP7-2 A
240826Chi_D24-13570	MED4-MIT1002 PSSP7-2 B
240826Chi_D24-13571	MED4-MIT1002 PSSP7-2 C
240826Chi_D24-13554	MED4Xe NPC A
240826Chi_D24-13555	MED4Xe NPC B
240826Chi_D24-13556	MED4Xe NPC C
240826Chi_D24-13563	MED4Xe PSSP7-1 A
240826Chi_D24-13564	MED4Xe PSSP7-1 B
240826Chi_D24-13565	MED4Xe PSSP7-1 C
240826Chi_D24-13566	MED4Xe PSSP7-2 A
240826Chi_D24-13567	MED4Xe PSSP7-2 B
240826Chi_D24-13568	MED4Xe PSSP7-2 C
240826Chi_D24-13572	MITS9451Xe NPC A
240826Chi_D24-13573	MITS9451Xe NPC B
240826Chi_D24-13574	MITS9451Xe NPC C
240826Chi_D24-13575	MITS9451Xe Syn9-1 A
240826Chi_D24-13576	MITS9451Xe Syn9-1 B
240826Chi_D24-13577	MITS9451Xe Syn9-1 C
240826Chi_D24-13578	MITS9451Xe Syn9-2 A
240826Chi_D24-13579	MITS9451Xe Syn9-2 B
240826Chi_D24-13580	MITS9451Xe Syn9-2 C
